family	coverage
all	0.456534
median	0.166667
mean	0.352535
std	0.396549
CAT_RBD	0.0
PTB	0.0
Cys_Met_Meta_PP	0.0
CPS	0.0
RNA_pol_A_bac	0.0
Glyco_hydro_18	0.0
plantltp	0.0
lacI	0.0
TPK_catalytic	0.0
PBP_GOBP	0.0
Ribosomal_L7Ae	0.0
hormone	0.0
NTP_transferase	0.0
MCR_gamma	0.0
GA	0.0
SRP19	0.0
CPSase_L_chain	0.0
fibrinogen_C	0.0
Peptidase_M24	0.0
UcrQ	0.0
CoA_binding	0.0
HMA	0.0
laminin_G	0.0
Lyase_8_C	0.0
ATP-sulfurylase	0.0
Cohesin	0.0
Amino_oxidase_D2	0.0
malic_N	0.0
Topoisomerase_I	0.0
Lyase_8_NC	0.0
recA_C	0.0
Uricase	0.0
Transglutamin_N	0.0
Transglutamin_C	0.0
TPK_B1_binding	0.0
recA_N	0.0
FTR	0.0
Cytochrome_C1_N	0.0
Sulfotransfer	0.0
Cytochrome_C1_C	0.0
ghf10	0.0
Amidase	0.0
ghf18	0.0
HCV_NS3	0.0
Peptidase_M17_N	0.0
bv	0.0
Peptidase_C2_D1	0.0
HLH	0.0
sialidase_N	0.0
GFO_IDH_MocA_NC	0.0
His_biosynth	0.0
Band_41_NME	0.0
ARID	0.0
MutS_D3	0.0
MutS_D2	0.0
CCP_MauG	0.0
TrpBP	0.0
Peptidase_S11	0.0
arrestin_NC	0.0
Peptidase_S21	0.0
cytprime	0.0
msb	0.0
Gly_radical	0.0
GP41	0.0
Asp_Glu_race	0.0
FAD-oxidase_C	0.0
transcript_fac2	0.0
envelope	0.0
tRNA-synt_1_edit	0.0
EFTU_2	0.0
Haloperoxidase	0.0
Bcl-2	0.0
NO_synthase	0.0
LDLa	0.0
EFG_IV	0.0
mcp2	0.0
IF3	0.0
TBCA	0.0
DegT_DnrJ_EryC1	0.0
PBP_NC	0.0
recA	0.0
DPS	0.0
UreE	0.0
tRNA-synt_1d_N	0.0
BAG	0.0
taf	0.0
ModE_C	0.0
HIT	0.0
Peptidase_M16	0.0
Prismane	0.0
PGI	0.0
gln-synt_N	0.0
LBP_BPI_CETP	0.0
eIF-1a	0.0
Epimerase	0.0
Arg_repressor_C	0.0
Amidase_2	0.0
Lipoprotein_4	0.0
NiFeSe_Hases	0.0
