family	coverage
all	0.325500
median	0.049390
mean	0.267327
std	0.373094
SIS	0.0
Sua5_yciO_yrdC	0.0
PTS_EIIA_2	0.0
Anperoxidase	0.0
Peripla_BP_2	0.0
Pro_CA	0.0
Asn_synthase	0.0
PTB	0.0
response_reg	0.0
Cys_Met_Meta_PP	0.0
PGI	0.0
DSBA	0.0
malic_N	0.0
CPS	0.0
ghf46	0.0
TPK_catalytic	0.0
PBP_GOBP	0.0
Ribosomal_L7Ae	0.0
DNA_polymeraseX	0.0
hormone	0.0
cpn60_TCP1	0.0
NTP_transferase	0.0
Phage_F	0.0
GA	0.0
MutS_C	0.0
Cu_amine_oxid	0.0
fibrinogen_C	0.0
Peptidase_M24	0.0
CoA_binding	0.0
GATA	0.0
Glyco_hydro_67	0.0
Fe_hyd_lg_C	0.0
Transglutamin_NC	0.0
Lyase_8_C	0.0
rrm	0.0
DHPS	0.0
Amino_oxidase_D2	0.0
Amino_oxidase_D1	0.0
INTERFERON_A_B_D	0.0
COX2	0.0
Ala_racemase_N	0.0
TPK_B1_binding	0.0
recA_N	0.0
FTR	0.0
Cytochrome_C1_N	0.0
Cytochrome_C1_C	0.0
ghf5	0.0
Syntaxin	0.0
ghf10	0.0
ghf15	0.0
Amidase	0.0
ghf18	0.0
plantltp	0.0
kunitz	0.0
bv	0.0
Peptidase_S15_C	0.0
HLH	0.0
sialidase_N	0.0
Peptidase_S15_N	0.0
His_biosynth	0.0
SpoU_methylase_C	0.0
Urease_beta	0.0
EGF_Lam	0.0
pp	0.0
MutS_D3	0.0
MutS_D2	0.0
CCP_MauG	0.0
TrpBP	0.0
DNA_mis_repair_M	0.0
Isochorismatase	0.0
GGL	0.0
transket_pyr	0.0
msb	0.0
Gly_radical	0.0
GP41	0.0
laminin_G	0.0
fer4_NifH	0.0
envelope	0.0
ndk	0.0
EFTU_2	0.0
eIF-5a	0.0
Haloperoxidase	0.0
RNA_dep_RNA_pol	0.0
Bcl-2	0.0
Cucumo_coat	0.0
asprs	0.0
LDLa	0.0
Flavoprotein	0.0
ACPS	0.0
EFG_IV	0.0
Lyase_8_N	0.0
cat	0.0
myb_DNA-binding	0.0
Inh	0.0
PBP_NC	0.0
DNA_ligase	0.0
Ribosomal_L2_C	0.0
DPS	0.0
UreE	0.0
NusB	0.0
Fe_dep_repress	0.0
BAG	0.0
Sec1	0.0
Cys-protease-3C	0.0
ERM	0.0
RNA_pol_K	0.0
RNase_U2	0.0
ModE_C	0.0
HIT	0.0
VAT-N	0.0
Skp1	0.0
Peptidase_M16	0.0
Ran_BP1	0.0
Peptidase_S21	0.0
gln-synt_N	0.0
RNA_pol_N	0.0
TyrKc	0.0
Arg_repressor_N	0.0
dsrm	0.0
Arg_repressor_C	0.0
transketolase_PC	0.0
hormone_rec	0.0
dNK	0.0
tRNA-synt_1d_M	0.0
SSB	0.0
GSH_synthase_NC	0.0
MHC_II_alpha_NC	0.0
CCP_MauG_NC	0.0
Clp_N	0.0
MIF	0.0
MIP	0.0
Methyltransf_2	0.0
SAM	0.0
PRK	0.0
Phage_lysozyme	0.0
AP_endonucleas1	0.0
GSH_synth_ATP	0.0
MoCF_biosynth	0.0
pcd	0.0
S_T_dehydratase	0.0
ghf9	0.0
TPK	0.0
DAHP_synth_1	0.0
tRNA-synt_1	0.0
TPR	0.0
Cutinase	0.0
GHMP_kinases_N	0.0
PSI_PsaE	0.0
FN1	0.0
Fe_Asc_oxidored	0.0
formyl_transf	0.0
Ribosomal_S8	0.0
Flavin_Reduct	0.0
Astacin	0.0
A2M_B	0.0
Usp	0.0
MM_CoA_mutase	0.0
S_100	0.0
cytc	0.0
Ribosomal_L30	0.0
DeoC	0.0
asp	0.0
isoamylase_NC	0.0
ech	0.0
mmo	0.0
Ribosomal_S5_N	0.0
FolB	0.0
Ham1p_like	0.0
ATP-synt_g	0.0
IF3	0.0
Arginosuc_synth	0.0
ACBP	0.0
MGS	0.0
lta	0.0
CN_hydrolase	0.0
LIF_OSM	0.0
pgk	0.0
NHase_beta	0.0
SET	0.0
Amidase_2	0.0
trans_reg_C	0.0
UPP_synthetase	0.0
transketolase	0.0
IRF	0.0
L15	0.0
tbpc	0.0
Recep_L_domain	0.0
ABC_tran	0.0
pnp	0.0
IMS	0.0
DHOdehase	0.0
CARD	0.0
bontoxilysin	0.0
cyclin	0.0
KH	0.0
Rib_hydrolayse	0.0
C2	0.0
Aldolase_II	0.0
isoamylase_N	0.0
GHMP_kinases_C	0.0
PGM_PMM_I	0.0
hemocyan	0.0
Ferrochelatase	0.0
PDZ	0.0
Inos-1-P_synth	0.0
hr	0.0
Pep_deformylase	0.0
HMG-CoA_red	0.0
PCI_1	0.0
UCH	0.0
UvrD-helicase	0.0
TonB_dep_Rec	0.0
MutS_N	0.0
GFP	0.0
ARM	0.0
ModA	0.0
PHBH	0.0
EF1BD	0.0
fer4	0.0
Ribosomal_S30AE	0.0
F_bP_aldolase	0.0
TmpK	0.0
PAX	0.0
arrestin_C	0.0
MCR_alpha_N	0.0
cdh	0.0
Dala_Dala_ligas_C	0.0
PAC	0.0
PAH	0.0
AP_endonuc_2	0.0
MurB_C	0.0
ghf7	0.0
Sulfotransfer	0.0
ghf2	0.0
cpn10	0.0
actin	0.0
cNMP	0.0
recA	0.0
DUF28	0.0
histone	0.0
fabp	0.0
SHMT	0.0
Glyco_transf_6	0.0
RhoGAP	0.0
FA58C	0.0
DEAD	0.0
ghf33	0.0
Band_41_N	0.0
Transglutamin_C	0.0
Dala_Dala_ligas	0.0
Binary_toxA	0.0
G6PD_NC	0.0
THF_DHG_CYH	0.0
APC10	0.0
dpb	0.0
SPEC	0.0
FAA_hydrolase	0.0
DEATH	0.0
DNA_ligase_N	0.0
Cu-oxidase	0.0
VAT-Nn	0.0
prenyltrans	0.0
Dala_Dala_ligas_N	0.0
MBD	0.0
fn3	0.0
PX	0.0
internalin	0.0
RNA_pol_A_CTD	0.0
eIF6	0.0
AlaDh_PNT	0.0
SIR2	0.0
Dwarfin	0.0
G6PD_C	0.0
PK	0.0
PH	0.0
il8	0.0
GEL	0.0
MM_CoA_mutase_N	0.0
lipocalin	0.0
5_3_exonuclease	0.0
kex	0.0
Mur_ligase	0.0
Filamin	0.0
cox	0.0
Ribosomal_L22	0.0
ANK	0.0
aldedh	0.0
ung	0.0
apbact	0.0
CASc	0.0
igV	0.0
GP120	0.0
uce	0.0
Rho_GDI	0.0
Cu_nir	0.0
C4	0.0
GAL4	0.0
CBD_3	0.0
E2_N	0.0
HGTP_anticodon	0.0
Colicin	0.0
Exonuclease	0.0
CH	0.0
P	0.0
Ribosomal_L4	0.0
Zn_dep_PLPC	0.0
Ribosomal_L2	0.0
Glu_synth_NTN	0.0
Sec23_NC	0.0
NMT	0.0
kazal	0.0
MutS_NC	0.0
Ribosomal_L2_N	0.0
tcl1_mtcp1	0.0
DNA_pol3_beta	0.0
DUF50	0.0
DNA_photolyase	0.0
FHA	0.0
ADP_PFK_GK	0.0
Ricin_B_lectin	0.0
PGM_PMM_II	0.0
vprotease	0.0
toxin_2	0.0
Lyase_8	0.0
Peptidase_C2_D1	0.0
protg	0.0
Glyco_hydro_2_N	0.0
GAD	0.0
RrnaAD	0.0
PCNA	0.0
bromodomain	0.0
Ribosomal_S5	0.0
Ribosomal_S7	0.0
tRNA-synt_1c	0.0
ccH	0.0
Acetyltransf2	0.0
C1q	0.0
GHMP_kinases	0.0
capsid_c	0.0
Cys_knot	0.0
capsid_n	0.0
Dehydratase_SU	0.0
AlaDh_PNT_D2	0.0
AlaDh_PNT_D1	0.0
Thioesterase	0.0
TIR	0.0
TIL	0.0
Sec7	0.0
rvintegrase	0.0
F5_F8_type_C	0.0
OMPdecase	0.0
Alpha_adaptin_C	0.0
cyclo	0.0
Esterase	0.0
PMSR	0.0
adk	0.0
avi	0.0
TrkA-N	0.0
ferritin	0.0
stpp	0.0
PPTA	0.0
aminotran_4	0.0
dTDP_sugar_isom	0.0
serbact	0.0
Tymo_coat	0.0
EFTU_C	0.0
CC4	0.0
FAD_binding_2	0.0
Peptidase_S9	0.0
DEP	0.0
RuBisCO_large_N	0.0
adeno_fiber	0.0
Cytochrome_C1	0.0
NHase_alpha	0.0
rasgap	0.0
HSF_DNA-bind	0.0
DNA_topoisoIV	0.0
endotoxin	0.0
CMAS	0.0
SLT	0.0
Invasin	0.0
RuBisCO_large	0.0
Ribosomal_L14	0.0
SRP19	0.0
ATP-synt_DE_N	0.0
tetR	0.0
PBP	0.0
aadh	0.0
N6_N4_Mtase	0.0
ChtBD	0.0
mmob	0.0
Toprim	0.0
trp_syntA	0.0
aconitase	0.0
Plectin	0.0
G6PD	0.0
PCMT	0.0
integrase	0.0
biopterin_H	0.0
LRR	0.0
DHquinase_II	0.0
tRNA-synt_2d	0.0
QRPTase	0.0
TRANSTHYRETIN	0.0
thiolase	0.0
GATase	0.0
MCR_alpha	0.0
WD40	0.0
DNA_mis_repair_NM	0.0
Glyco_hydro_18_D1	0.0
hexapep	0.0
recombinase	0.0
Lyase_8_NC	0.0
mcp2	0.0
Phage_G	0.0
Rhodanese	0.0
merR	0.0
SLT_beta	0.0
sdr	0.0
SAM_decarbox	0.0
RNA_pol_H	0.0
DNA_methylase	0.0
AMP-binding	0.0
fer2	0.0
IMPDH	0.0
Prismane	0.0
Pectinesterase	0.0
fusion_gly	0.0
zf-CCHC	0.0
LysR_substrate	0.0
utg	0.0
zf-CCHH	0.0
LEM	0.0
ligase-CoA_NC	0.0
cat3	0.0
ALAD	0.0
Penicil_amidase	0.0
Alpha_adaptinC12	0.0
malic	0.0
alpha-amylase_N	0.0
int	0.0
Amino_oxidase	0.0
SCP2	0.0
VHS	0.0
mycin	0.0
gln-synt_NC	0.0
rvt	0.0
ATP-synt	0.0
Glyco_hydro_18	0.0
arginase	0.0
SRP54	0.0
tRNA-synt_1d	0.0
rnr	0.0
hpr	0.0
DAO	0.0
neur_chan_memb	0.0
ghf28	0.0
UCR_14kD	0.0
Malate_synthase	0.0
flavbb	0.0
cks	0.0
ICL	0.0
pec_lyase	0.0
START	0.0
tRNA-synt_1_edit	0.0
svmp	0.0
Cytidylyl_trans	0.0
abhydrolase_2	0.0
ghf34	0.0
DHBP_synthase	0.0
hexokinase	0.0
proteasome	0.0
rep	0.0
Peptidase_S15	0.0
WH1	0.0
mmoa	0.016393442623
aat	0.0196078431373
aldosered	0.0204081632653
MCR_gamma	0.0212765957447
voltage_CLC	0.0212765957447
Dehydratase_LU	0.0215053763441
ATP-sulfurylase	0.0243902439024
phosfruc	0.025
ATP-gua_Ptrans	0.0263157894737
glnasn	0.027027027027
STAT	0.027027027027
Parvo_coat2	0.027027027027
Orn_Arg_deC_NC	0.0294117647059
6PGD	0.0294117647059
icd	0.030303030303
HCV_NS3	0.03125
URO-D	0.03125
lipoxygenase	0.03125
KISc	0.0322580645161
FAD-oxidase_C	0.0333333333333
helicase_NC	0.0333333333333
Ald_Xan_dh_2	0.0333333333333
