family	coverage
all	0.494111
median	0.452753
mean	0.449840
std	0.163929
GLA	0.0
S1	0.0384615384615
GA	0.0526315789474
myb_DNA-binding	0.0645161290323
hr	0.0681818181818
GLUCAGON	0.08
RNA_pol_N	0.0857142857143
Bac_DNA_binding	0.0862068965517
HLH	0.0909090909091
5_3_exonuclease	0.0923076923077
RING	0.1
Fork_head	0.102040816327
linker_histone	0.108108108108
sh3	0.108695652174
DUF101	0.114942528736
pp-binding	0.115384615385
UPF0033	0.116279069767
CIDE-N	0.12
MM_CoA_mutase	0.121621621622
VPR	0.125
eIF-1a	0.127659574468
P53	0.130434782609
igI	0.131147540984
MIP	0.132352941176
PKD	0.133333333333
Arthro_defensin	0.133333333333
HMG_box	0.135135135135
ets	0.135135135135
LEM	0.135135135135
pilin	0.135135135135
NusB	0.135416666667
mutT	0.138888888889
Staphylokinase	0.142857142857
PABP	0.142857142857
PBD	0.147058823529
PBP_GOBP	0.147540983607
RrnaAD	0.147928994083
Mu_DNA_bind	0.148148148148
Ribosomal_S15	0.148148148148
PTB	0.148648648649
CBD_2	0.15
STAS	0.152777777778
CARD	0.153846153846
SAM_PNT	0.153846153846
Topoisomerase_I_core	0.154471544715
neur_chan_memb	0.157894736842
RhoGEF	0.158415841584
DEP	0.162790697674
SNAP-25	0.166666666667
KH	0.166666666667
SUI1	0.170212765957
tRNA-synt_1_edit	0.170542635659
WHEP-TRS	0.170731707317
ACT	0.170731707317
HSF_DNA-bind	0.171428571429
pp	0.172413793103
TFIIS	0.172413793103
recombinase	0.172413793103
Ala_racemase_N	0.173228346457
Alpha_adaptin_C	0.175
CBS	0.176470588235
DUF170	0.176470588235
igps	0.176991150442
IF4E	0.178217821782
GGL	0.18
DISIN	0.181818181818
RA	0.181818181818
ANATO	0.181818181818
integrase	0.181818181818
DEATH	0.185185185185
Uricase	0.185567010309
spidertoxin	0.1875
igcon	0.1875
neurotox	0.190476190476
RNA_pol_K	0.19298245614
MMOB	0.193548387097
TIL	0.193548387097
Amino_oxidase_D2	0.194444444444
PX	0.194444444444
lacI	0.19512195122
Mur_ligase_C	0.2
S_100	0.203703703704
sigma54	0.203703703704
ARID	0.205479452055
CBD_6	0.205607476636
PH	0.206349206349
ccH	0.208333333333
GAF	0.209302325581
Transglutamin_C	0.209677419355
LBP_BPI_CETP	0.211538461538
BRCT	0.211538461538
SAP	0.214285714286
tetR	0.214285714286
DnaJ	0.21568627451
DAP_epimerase	0.216216216216
Ribonuclease_P	0.216494845361
e3	0.217391304348
FTR	0.218181818182
toxin	0.21875
SRP19	0.21875
Gly_radical	0.220394736842
Histidine_kinase	0.222222222222
zf-TAZ	0.222222222222
UBX	0.222222222222
Sec7	0.224242424242
Glyco_hydro_2	0.224489795918
MBD	0.224489795918
PNTB	0.224852071006
Filamin	0.226666666667
Fimbrial	0.229508196721
DUF153	0.230769230769
Chorismate_mut	0.238095238095
PyrI	0.239130434783
FN1	0.24
ATP-synt	0.240223463687
HMA	0.241379310345
Sua5_yciO_yrdC	0.242647058824
thiored	0.244444444444
actin	0.244444444444
fkbp	0.244444444444
LIF_OSM	0.245283018868
Amidase_2	0.245901639344
tRNA-synt_1b	0.246666666667
Bcl-2	0.247863247863
Isochorismatase	0.248175182482
Peripla_BP_2	0.25
Thr_dehydrat_C	0.25
L15	0.25
BIR	0.25
PRK	0.252252252252
BAG	0.252427184466
SCP	0.252631578947
igV	0.253333333333
dsrm	0.254237288136
Peptidase_S15_C	0.254385964912
TMV_coat	0.257142857143
plantltp	0.259259259259
phero	0.259259259259
tRNA-synt_1d_N	0.25974025974
Peptidase_S9	0.261083743842
Asp_Glu_race_D	0.2625
Toprim	0.2625
Alpha_adaptinC2	0.264150943396
Exonuclease	0.264957264957
RGS	0.26724137931
MGS	0.267441860465
P	0.27027027027
Glyco_hydro_2_N	0.271028037383
Thioesterase	0.271317829457
igC2	0.272727272727
PHBH	0.274131274131
FolB	0.276595744681
hormone5	0.276923076923
AP_endonuc_2	0.277777777778
Trypan_glycop	0.278538812785
DNA_polymeraseX	0.279069767442
RhoGAP	0.279411764706
CcmE	0.279411764706
SpoU_methylase	0.279661016949
EPSP_syntase	0.27972027972
SpoU_methylase_N	0.28
chromo	0.28
Asp_Glu_race	0.280303030303
VAT-Nc	0.282051282051
Alpha_adaptinC12	0.282442748092
PAN	0.282608695652
formyl_transf	0.283464566929
Glyco_transf_28	0.284974093264
LDLa	0.285714285714
biotin_lipoyl	0.285714285714
Rotamase	0.285714285714
RNA_pol_A_CTD	0.285714285714
GBP_PSP	0.285714285714
Peptidase_S15	0.285714285714
cystatin	0.287671232877
