family	coverage
all	0.639671
median	0.615385
mean	0.592532
std	0.168063
Chorismate_mut	0.0689655172414
HLH	0.0740740740741
Bac_DNA_binding	0.0909090909091
pilin	0.0952380952381
RNA_pol_N	0.0967741935484
P53	0.105263157895
RhoGEF	0.11320754717
BIR	0.125
Ribosomal_S15	0.125
RA	0.133333333333
UPF0033	0.133333333333
NusB	0.135802469136
GLUCAGON	0.136363636364
ets	0.147058823529
PBP_GOBP	0.15
chromo	0.153846153846
PBD	0.153846153846
SUI1	0.15625
pp	0.16
PARATHYROID	0.166666666667
SAM_PNT	0.170731707317
HMG_box	0.178571428571
LEM	0.178571428571
SNAP-25	0.189655172414
5_3_exonuclease	0.192307692308
linker_histone	0.192307692308
Fork_head	0.193548387097
PABP	0.196078431373
PTB	0.2
CBS	0.2
mutT	0.2
Arthro_defensin	0.2
LIF_OSM	0.205128205128
MIP	0.213483146067
dsrm	0.219512195122
S1	0.222222222222
KH	0.222222222222
igcon	0.222222222222
IF4E	0.222222222222
Staphylokinase	0.225806451613
igps	0.231884057971
GA	0.233333333333
sh3	0.238095238095
STAS	0.239130434783
DEP	0.24
lacI	0.241379310345
DnaJ	0.244444444444
MMOB	0.25
pp-binding	0.25
MM_CoA_mutase	0.257142857143
PKD	0.259259259259
sigma54	0.260869565217
DEATH	0.268292682927
SAP	0.285714285714
RING	0.285714285714
RNA_pol_K	0.292682926829
PX	0.3
zf-TAZ	0.3
RrnaAD	0.30303030303
CARD	0.304347826087
DUF101	0.305084745763
TBCA	0.307692307692
TPK_B1_binding	0.309090909091
Gly_radical	0.309278350515
DAP_epimerase	0.3125
Topoisomerase_I_core	0.313253012048
ccH	0.314285714286
AP_endonuc_2	0.317647058824
INTERFERON_A_B_D	0.322580645161
hormone5	0.326086956522
GAF	0.326530612245
taf	0.327272727273
Alpha_adaptin_C	0.327272727273
eIF-1a	0.333333333333
S_100	0.333333333333
phero	0.333333333333
ACT	0.333333333333
cat3	0.337078651685
Bcl-2	0.340425531915
cytprime	0.342105263158
Isochorismatase	0.344086021505
MBD	0.348837209302
Alpha_adaptinC2	0.351351351351
Sec7	0.352
BAG	0.352941176471
tRNA-synt_1b	0.354166666667
ANATO	0.354838709677
SPEC	0.35593220339
myb_DNA-binding	0.357142857143
Histidine_kinase	0.359375
GHMP_kinases_N	0.36
HMA	0.361111111111
CBD_6	0.361111111111
CBD_2	0.361111111111
igC2	0.363636363636
egf	0.363636363636
CC4	0.363636363636
RNA_pol_H	0.363636363636
rnr	0.364485981308
tRNA-synt_1d_N	0.365079365079
Usp	0.365384615385
ACBP	0.367346938776
prenyltrans	0.367346938776
GroEL	0.368098159509
Thioesterase	0.369565217391
