family	coverage
all	0.715579
median	0.716063
mean	0.668626
std	0.197116
igC2	0.0
rrm	0.0
CBS	0.0
SAP	0.0
GAF	0.0
cytb	0.0
END	0.0
tgfb	0.0
fer4	0.0
lipocalin	0.0
igV	0.0
pot	0.0
toxin_2	0.0
Lum_binding	0.0
PARATHYROID	0.0
KAS	0.0121457489879
aadh	0.0165745856354
subt	0.0210526315789
AP_endonuc_2	0.0222222222222
Cys-protease-3C	0.0288461538462
dpo1	0.028880866426
p450	0.029197080292
fabp	0.0333333333333
Ald_Xan_dh_2	0.0596421471173
blmb	0.0675675675676
DEATH	0.0769230769231
ghf1	0.0829493087558
uce	0.0833333333333
RING	0.1
RA	0.114285714286
CIDE-N	0.122448979592
MM_CoA_mutase	0.125984251969
YgbB	0.152173913043
bowman	0.176470588235
DAP_epimerase	0.178082191781
RhoGEF	0.184210526316
Arthro_defensin	0.2
igcon	0.206896551724
pp-binding	0.208333333333
Fork_head	0.219178082192
e3	0.222222222222
pilin	0.222222222222
LBP_BPI_CETP	0.223684210526
eIF-1a	0.225806451613
Thr_dehydrat_C	0.233333333333
PH	0.233333333333
ACT	0.234042553191
Rotamase	0.236842105263
igps	0.264705882353
chromo	0.266666666667
PyrI	0.272727272727
5_3_exonuclease	0.275229357798
mutT	0.275362318841
Ribosomal_S15	0.28
internalin	0.281690140845
STAS	0.285714285714
igI	0.291666666667
DISIN	0.293103448276
RNA_pol_N	0.296296296296
HLH	0.297297297297
MMOB	0.301587301587
toxin	0.315789473684
ets	0.31914893617
SpoU_methylase_N	0.333333333333
mthinb	0.333333333333
BIR	0.333333333333
CBD_2	0.333333333333
linker_histone	0.340425531915
cdh	0.342857142857
seatoxin	0.346153846154
hr	0.347826086957
sh3	0.347826086957
LIM	0.348837209302
recombinase	0.35
SAM_PNT	0.350877192982
IF4E	0.353448275862
Filamin	0.354430379747
TFIIS	0.354838709677
PNTB	0.357575757576
ANATO	0.363636363636
PCI_1	0.365853658537
Fimbrial	0.371428571429
PTB	0.375
Lyase_8_C	0.375
Cys_knot	0.376344086022
UPF0033	0.378378378378
RrnaAD	0.380710659898
CARD	0.383333333333
GHMP_kinases_N	0.384615384615
DUF170	0.384615384615
GHMP_kinases	0.384615384615
Transglutamin_N	0.385964912281
LysR_substrate	0.386363636364
Sua5_yciO_yrdC	0.387096774194
CopC	0.392405063291
NusB	0.393617021277
spidertoxin	0.394736842105
PyrI_NC	0.394957983193
Usp	0.395348837209
RNA_pol_K	0.397058823529
C1	0.4
PBD	0.4
RNA_pol_H	0.403225806452
pec_lyase	0.406015037594
Glyco_transf_8	0.40625
Chorismate_mut	0.407407407407
Recep_L_domain	0.407894736842
Alpha_adaptinC2	0.409090909091
CBD_6	0.409638554217
Glyco_hydro_2_N	0.411764705882
CAP_GLY	0.411764705882
CcmE	0.4125
DEFSN	0.416666666667
phero	0.416666666667
TPK_B1_binding	0.418181818182
Staphylokinase	0.421052631579
ghf28	0.423312883436
Mu_DNA_bind	0.423728813559
Peripla_BP_2	0.424836601307
tRNA-synt_1_edit	0.42735042735
Amidase_2	0.428571428571
Activin_recp	0.428571428571
squash	0.428571428571
neurotox	0.428571428571
mthina	0.428571428571
HMG_box	0.433962264151
TNFR_c6	0.435897435897
Sec7	0.436464088398
ccH	0.44
SRP19	0.44
alpha-amylase_NC	0.441176470588
acyo	0.443181818182
VAT-Nc	0.444444444444
ARID	0.44578313253
DUF153	0.448275862069
PAN	0.45
Peptidase_S15_N	0.453987730061
thiored	0.454545454545
PDGF	0.45652173913
FAD_binding_4	0.460526315789
pp	0.461538461538
hormone5	0.466666666667
PX	0.466666666667
Desulfoferrodox	0.466666666667
Peptidase_S15	0.466926070039
OMPdecase	0.467391304348
HMA	0.467741935484
TonB_dep_Rec	0.469827586207
plantltp	0.470588235294
KH	0.470588235294
DNA_ligase_C	0.470588235294
Rhodanese	0.470588235294
S1	0.473684210526
PKD	0.47619047619
MGS	0.48
ATP-synt	0.484567901235
L15	0.484848484848
Topoisomerase_I_core	0.486956521739
Ald_Xan_dh_1	0.486956521739
pnp	0.487804878049
EPSP_syntase	0.487903225806
Peptidase_C2_D2	0.488888888889
GFO_IDH_MocA_C	0.488888888889
PABP	0.490196078431
Glyco_transf_28	0.494318181818
Gly_radical	0.495454545455
tRNA-synt_1b	0.495495495495
His_biosynth	0.496732026144
Ala_racemase_N	0.5
CCP_MauG	0.5
SUI1	0.5
Glyco_hydro_2	0.5
Glyco_hydro_20b	0.5
Transglutamin_C	0.5
tRNA_bind	0.5
Uricase	0.507042253521
Levi_coat	0.507246376812
Fe_Asc_oxidored	0.507575757576
DNA_pol3_beta	0.507692307692
MBD	0.511627906977
Peptidase_M17_N	0.513513513514
LEM	0.515151515152
UcrQ	0.516666666667
Agglutinin	0.52
actin	0.520325203252
Peptidase_S9	0.520467836257
VAT-N	0.521126760563
prenyltrans	0.521428571429
Amino_oxidase	0.521551724138
Histidine_kinase	0.521739130435
Extradiol_dioxy	0.522471910112
dsrm	0.526315789474
GHMP_kinases_C	0.526315789474
SLT	0.529411764706
DnaJ	0.530612244898
HGTP_anticodon	0.530612244898
GA	0.53125
myb_DNA-binding	0.533333333333
Ribosomal_L2_C	0.533333333333
hom	0.533333333333
TPK	0.534090909091
Asp_Glu_race	0.535714285714
S_100	0.535714285714
Alpha_adaptinC12	0.536842105263
INTERFERON_A_B_D	0.537037037037
WW	0.538461538462
GBP_PSP	0.538461538462
FHA	0.54
SIS	0.540816326531
Haloperoxidase	0.542553191489
UreE	0.544117647059
Isochorismatase	0.544642857143
pili_assembly	0.544642857143
fn3	0.545454545455
pcd	0.547619047619
DSPc	0.549019607843
Bac_DNA_binding	0.55
Ribosomal_L4	0.550724637681
histone	0.55223880597
Ribosomal_L22	0.55223880597
DegT_DnrJ_EryC1	0.5546875
BRCT	0.555555555556
integrase	0.555555555556
gln-synt_N	0.558441558442
Amino_oxidase_D1	0.56
Arg_repressor_C	0.5625
EF1BD	0.5625
zf-TAZ	0.5625
Ribonuclease_P	0.563106796117
ghf33	0.563636363636
Nitroreductase	0.566037735849
Cytidylyl_trans	0.566666666667
PBP	0.567567567568
RNA_dep_RNA_pol	0.567901234568
bv	0.56862745098
MIF4G	0.569444444444
transketolase	0.570552147239
PHBH	0.570731707317
VPR	0.571428571429
PAH	0.571428571429
DEP	0.574074074074
ATP-synt_DE_N	0.574074074074
Peptidase_C2	0.575539568345
ghf18	0.575757575758
MIP	0.575757575758
Sec23_NC	0.576819407008
CN_hydrolase	0.577777777778
scorptoxin	0.577777777778
ghf6	0.577981651376
Ribosomal_L5_NC	0.578125
ModE_C	0.578313253012
SAICAR_synt	0.578947368421
GLUCAGON	0.578947368421
UBX	0.578947368421
EFG_IV	0.579710144928
asprs	0.580392156863
FolB	0.581395348837
DNA_methylase	0.581896551724
HIT	0.582089552239
GSH_synth_ATP	0.582278481013
dpb	0.582491582492
ku	0.583333333333
TIMP	0.58407079646
ACBP	0.584615384615
DUF101	0.584905660377
reductases	0.584905660377
kex	0.585106382979
TIR	0.585714285714
PTS_EIIA_2	0.586206896552
RNA_pol_A_CTD	0.586206896552
CCP_MauG_NC	0.587044534413
Thioesterase	0.588235294118
tRNA-synt_1d_M	0.588516746411
Furin-like	0.589743589744
N6_N4_Mtase	0.590062111801
capsid_c	0.590163934426
ghf2	0.590909090909
PGI	0.592274678112
Asn_synthase_NC	0.592274678112
G6PD_C	0.593073593074
rnh	0.59375
biotin_lipoyl	0.594594594595
arrestin_C	0.595744680851
alk_phosphatase	0.595833333333
Peptidase_S15_C	0.597402597403
DNA_ligase	0.59756097561
Binary_toxA	0.597701149425
LDLa	0.6
A2M_A	0.6
cks	0.6
TPK_catalytic	0.601851851852
Hint	0.603174603175
arrestin_NC	0.604316546763
PBP_GOBP	0.604651162791
FTR	0.605263157895
cNMP	0.605263157895
hpr	0.605263157895
oxidored_FMN	0.606382978723
EGF_Lam	0.608695652174
Phage_integrase	0.608695652174
bontoxilysin	0.609756097561
LIF_OSM	0.611764705882
P	0.612903225806
sialidase_N	0.614583333333
Bcl-2	0.614678899083
tyrosinase	0.614678899083
DHOdehase	0.614754098361
SpoU_methylase	0.614754098361
isoamylase_NC	0.615
G6PD_NC	0.615183246073
Sm	0.615384615385
cystatin	0.615384615385
Nitrophorin	0.615942028986
cat3	0.616279069767
FAD_binding_5	0.617224880383
Peptidase_C2_D1	0.61797752809
TMV_coat	0.618055555556
SCP	0.618181818182
GATase	0.618556701031
FN2	0.619047619048
SIR2	0.62015503876
tRNA-synt_1d_N	0.620689655172
G6PD	0.622950819672
tRNA-synt_2d	0.623188405797
Flavin_Reduct	0.623376623377
TIL	0.625
Tymo_coat	0.625
GSH_synthase_NC	0.62582781457
FAD_binding	0.62676056338
IF3	0.626865671642
Exonuclease	0.626865671642
thiolase	0.627586206897
Peptidase_M16	0.627692307692
Cytidylyltransf	0.627906976744
FAA_hydrolase	0.628205128205
Amino_oxidase_D2	0.62962962963
arrestin	0.62962962963
fibrinogen_C	0.630434782609
tryp_alpha_amyl	0.630434782609
HSP20	0.630769230769
Rib_hydrolayse	0.630769230769
aconitase	0.632743362832
CAT_RBD	0.633333333333
UCH	0.634146341463
Mur_ligase	0.634920634921
Transglutamin_NC	0.636007827789
sti	0.636363636364
Topoisom_bac	0.6375
tcl1_mtcp1	0.6375
