family	coverage
all	0.718933
median	0.716601
mean	0.669264
std	0.200949
igC2	0.0
rrm	0.0
CBS	0.0
S1	0.0
SAP	0.0
GAF	0.0
cytb	0.0
END	0.0
tgfb	0.0
Arthro_defensin	0.0
fer4	0.0
AP_endonuc_2	0.0
fabp	0.0
lipocalin	0.0
igV	0.0
pot	0.0
toxin_2	0.0
Lum_binding	0.0
KAS	0.00826446280992
Cys-protease-3C	0.0102040816327
aadh	0.0118343195266
subt	0.0119047619048
dpo1	0.0190839694656
p450	0.0241935483871
blmb	0.047619047619
Ald_Xan_dh_2	0.0515463917526
ghf1	0.0531400966184
DEATH	0.0571428571429
uce	0.0597014925373
YgbB	0.0909090909091
MM_CoA_mutase	0.0952380952381
igcon	0.115384615385
RA	0.121212121212
bowman	0.125
RING	0.125
DNA_ligase_C	0.153846153846
squash	0.166666666667
HLH	0.171428571429
PH	0.185185185185
chromo	0.185185185185
Ribosomal_S15	0.189189189189
RhoGEF	0.191176470588
igps	0.192307692308
Fork_head	0.211267605634
LBP_BPI_CETP	0.217391304348
DAP_epimerase	0.228571428571
ANATO	0.259259259259
pp-binding	0.260869565217
CIDE-N	0.260869565217
eIF-1a	0.266666666667
TFIIS	0.266666666667
Rotamase	0.272727272727
DEFSN	0.272727272727
CBD_6	0.272727272727
PyrI	0.276315789474
DISIN	0.280701754386
MMOB	0.283333333333
sh3	0.285714285714
linker_histone	0.288888888889
toxin	0.294117647059
PBD	0.294117647059
ACT	0.295454545455
ccH	0.304347826087
CBD_2	0.311111111111
PTB	0.315789473684
UPF0033	0.323529411765
Staphylokinase	0.333333333333
seatoxin	0.333333333333
Thr_dehydrat_C	0.333333333333
C1	0.333333333333
neurotox	0.333333333333
Fimbrial	0.333333333333
DUF170	0.347826086957
mthina	0.35
igI	0.35
STAS	0.351351351351
PX	0.352112676056
ARID	0.353658536585
5_3_exonuclease	0.356435643564
myb_DNA-binding	0.357142857143
mutT	0.359375
SpoU_methylase_N	0.361111111111
hr	0.363636363636
ets	0.363636363636
SAM_PNT	0.363636363636
Recep_L_domain	0.366197183099
cdh	0.366666666667
KH	0.367346938776
IF4E	0.369369369369
HMG_box	0.372549019608
pilin	0.375
Sua5_yciO_yrdC	0.383333333333
e3	0.384615384615
PKD	0.388888888889
RrnaAD	0.389743589744
PNTB	0.390243902439
Cys_knot	0.391304347826
Chorismate_mut	0.392156862745
LysR_substrate	0.393063583815
ghf28	0.393333333333
Glyco_transf_8	0.396226415094
tRNA-synt_1_edit	0.396396396396
egf	0.4
PCI_1	0.4
BIR	0.4
tRNA_bind	0.4
hormone5	0.405405405405
HMA	0.409836065574
Topoisomerase_I_core	0.411214953271
Usp	0.414634146341
CopC	0.415584415584
GBP_PSP	0.416666666667
Peripla_BP_2	0.420689655172
CARD	0.421052631579
internalin	0.421875
acyo	0.425287356322
DNA_pol3_beta	0.426229508197
CCP_MauG	0.42735042735
PyrI_NC	0.42735042735
CAT_RBD	0.428571428571
spidertoxin	0.432432432432
L15	0.433333333333
GHMP_kinases	0.433333333333
CcmE	0.435897435897
pec_lyase	0.436974789916
Histidine_kinase	0.4375
MBD	0.439024390244
DEP	0.442307692308
alpha-amylase_NC	0.44262295082
hom	0.444444444444
S_100	0.444444444444
PAN	0.444444444444
Activin_recp	0.444444444444
recombinase	0.444444444444
MGS	0.449275362319
NusB	0.450549450549
GHMP_kinases_C	0.454545454545
