family	coverage
all	0.168497
median	0.142310
mean	0.194979
std	0.172582
Cytochrome_C1_C	0.0
myb_DNA-binding	0.0
DEFSN	0.0
trans_reg_C	0.0
Arthro_defensin	0.0
GAL4	0.0
ccH	0.0
Ribosomal_L2	0.010101010101
flavbb	0.0105263157895
Band_41_N	0.0140845070423
svmp	0.015306122449
SLT_beta	0.015625
PAH	0.0185185185185
tetR	0.0185185185185
Orbi_VP7	0.018691588785
Egg_lysin	0.018691588785
Ribosomal_L30	0.0196078431373
Urease_beta	0.0208333333333
Dwarfin	0.0208333333333
biopterin_H	0.0216606498195
MBD	0.0217391304348
lta	0.0222222222222
SRP54M	0.0222222222222
CBD_3	0.0223880597015
PDZ	0.0224719101124
Phage_F	0.0227272727273
Ribosomal_L2_N	0.0227272727273
Pro_CA	0.0229357798165
HCV_NS3	0.0229885057471
MCR_alpha	0.0232558139535
RNase_U2	0.0234375
gln-synt_N	0.0238095238095
Glyco_hydro_18_D2	0.0238095238095
NHase_alpha	0.0238095238095
hpr	0.0246913580247
ung	0.0247524752475
MoCF_biosynth	0.025
Ribosomal_S5	0.025
Ricin_B_lectin	0.0257510729614
malic_N	0.0259067357513
LRR	0.0265486725664
P	0.027027027027
CoA_binding	0.0275229357798
WD40	0.0275229357798
GA	0.0285714285714
CBM_20	0.030303030303
Ribosomal_L7Ae	0.030612244898
cytc	0.030612244898
ATP-synt_DE_N	0.0307692307692
utg	0.0307692307692
Cu_nir	0.030959752322
GP120	0.0311418685121
Sulfotransfer	0.0314136125654
ferritin	0.0320512820513
PK	0.0322580645161
pilin	0.0322580645161
DNA_pol_B_exo	0.0324909747292
Band_41_NME	0.0325203252033
UCR_14kD	0.0337078651685
dhfr	0.0338983050847
Ribosomal_L14	0.0340909090909
DNA_gyraseB_N2	0.0342679127726
Sua5_yciO_yrdC	0.0344827586207
C1	0.0344827586207
taf	0.0350877192982
Esterase	0.0352941176471
slectin	0.0357142857143
capsid_c	0.0357142857143
EFTU_C	0.0357142857143
galpha	0.0358422939068
Dala_Dala_ligas_C	0.0363636363636
Pertussis_S2S3_N	0.0365853658537
cat	0.0366972477064
aminotran_4	0.0366972477064
Plectin	0.037037037037
NMT	0.0372670807453
TrkA-N	0.0377358490566
malic	0.0378250591017
FAD_binding_4	0.0380952380952
molybdopterin	0.0383036935705
TIL	0.0384615384615
mofe	0.0386363636364
transketolase	0.0386740331492
ICL	0.0386904761905
CCP_MauG_NC	0.0388349514563
FTR	0.04
tbpc	0.04
UPP_synthetase	0.0402298850575
URO-D	0.040404040404
Ribosomal_S5_N	0.0408163265306
CUB	0.0408163265306
PBP_NC	0.0409482758621
CODH	0.0410714285714
ANK	0.0416666666667
Cytochrome_C1	0.0416666666667
lyase_1	0.0422885572139
Topoisomerase_I	0.042328042328
cpn60_TCP1	0.0425531914894
Arg_repressor_N	0.0425531914894
GP41	0.0434782608696
ACPS	0.0434782608696
SAM_PNT	0.0434782608696
A2M_B	0.0436507936508
gln-synt_NC	0.0437017994859
Peptidase_C2_D1	0.0440251572327
GATase_2	0.0447284345048
DNA_methylase	0.0456852791878
hexokinase	0.0461165048544
Orn_Arg_deC_NC	0.046439628483
COX2	0.0466321243523
cyclo	0.0469798657718
NTP_transf_2_N2	0.0469973890339
ghf14	0.0472103004292
Phage_lysozyme	0.0472972972973
Cytochrome_C1_N	0.047619047619
PTS_EIIA_2	0.0481927710843
TrpBP	0.0483870967742
Glyco_transf_6	0.0484581497797
asp	0.0485074626866
Glu_syn_central	0.0487804878049
UBX	0.0487804878049
tRNA_bind	0.0487804878049
EF_TS	0.0490196078431
Ribosomal_L6_D	0.0491803278689
Ribosomal_L18p	0.0491803278689
PGM_PMM_NC	0.0496613995485
Ald_Xan_dh_2	0.0498034076016
PMSR	0.05
icd	0.0501567398119
Sec7	0.0503597122302
Tymo_coat	0.0503597122302
aadh	0.0505617977528
NTP_transf_2	0.0506329113924
rrm	0.0512820512821
plantltp	0.0512820512821
fer4	0.0512820512821
NiFeSe_Hases	0.0513307984791
grs	0.051391862955
Rho_GDI	0.051724137931
stpp	0.051724137931
voltage_CLC	0.0517647058824
Cu_bind_like	0.0526315789474
Orn_DAP_Arg_deC	0.0526315789474
Peptidase_M24	0.0531914893617
DHPS	0.0533980582524
AP_endonuc_2	0.0535714285714
Fe_hyd_lg_C	0.0537634408602
Seedstore_7s	0.0542635658915
C1q	0.054347826087
GFP	0.0545454545455
PEPCK_ATP	0.0545905707196
Dala_Dala_ligas	0.0546218487395
fer2	0.0547945205479
SHMT	0.0550724637681
HATPase_c	0.0555555555556
SAP	0.0555555555556
bromodomain	0.0555555555556
ChtBD	0.0555555555556
rvt	0.0555555555556
TRANSTHYRETIN	0.0571428571429
CBD_6	0.0574712643678
PA_phosphatase	0.0576271186441
protg	0.0576923076923
MutS_D2	0.0579710144928
MYSc	0.0581395348837
DPS	0.0583333333333
MCR_alpha_N	0.0583333333333
Cyclotide	0.0588235294118
Prismane	0.0588235294118
cks	0.0588235294118
PAS	0.0594059405941
CMAS	0.0595238095238
Parvo_coat2	0.0595744680851
gpr	0.0597014925373
porin	0.0598591549296
PGM_PMM_III	0.06
BChl_A	0.0605095541401
Cu_amine_oxid	0.061135371179
kunitz	0.0612244897959
phosfruc	0.0612903225806
mmoa	0.0614754098361
pgk	0.0616246498599
ModE_C	0.0617283950617
TPR	0.0619469026549
MCR_gamma	0.0619834710744
VPR	0.0625
aakinase	0.0625
Arginosuc_synth	0.0625
LEM	0.0625
FAD-oxidase_NC	0.0627906976744
ALAD	0.0632911392405
TPK_B1_binding	0.0634920634921
isoamylase_N	0.063829787234
CCP_MauG	0.0645161290323
C4	0.0646766169154
ATP-sulfurylase	0.0649038461538
6PGD	0.0649350649351
ligase-CoA_NC	0.0650887573964
Ribosomal_S15	0.0652173913043
CH	0.0652173913043
ribonuclease_T2	0.0652173913043
E2_N	0.0654205607477
recA	0.0656934306569
UvrD-helicase	0.0657894736842
Nitroreductase	0.0660377358491
RuBisCO_large_N	0.0661157024793
START	0.0661764705882
Dehydratase_MU	0.066265060241
Adenylsucc_synt	0.0663390663391
MCR_beta_NC	0.0665083135392
GGL	0.0666666666667
ISP	0.0666666666667
Filamin	0.0666666666667
tms	0.0669456066946
Lipoprotein_4	0.0673076923077
Sec1	0.0677083333333
Ribosomal_L6	0.0677966101695
KISc	0.0681818181818
FA58C	0.0683760683761
glnasn	0.0685920577617
fibrinogen_C	0.0687830687831
nir	0.0688935281837
RuBisCO_large	0.0694444444444
envelope	0.0697674418605
aldosered	0.0697674418605
dpo1	0.0698198198198
reductases	0.0701754385965
proteasome	0.0702702702703
Glyco_hydro_18	0.0703703703704
mle	0.0710059171598
Lyase_8_N	0.0711111111111
TPK_catalytic	0.0714285714286
EGF_Lam	0.0714285714286
LDLa	0.0714285714286
DAHP_synth_1	0.0714285714286
Dala_Dala_ligas_N	0.0714285714286
tln	0.0718954248366
PGM_PMM_I	0.0719424460432
gdh	0.072
mmob	0.0720221606648
SAICAR_synt	0.0721649484536
igvar-l	0.0721649484536
gag_p17	0.0721649484536
Rhodanese	0.0721649484536
NO_synthase	0.0722891566265
FAD_binding_5	0.0723981900452
tRNA-synt_1	0.0726495726496
igI	0.0727272727273
Bac_rhodopsin	0.0730337078652
UreE	0.0731707317073
DHquinase_II	0.0733944954128
ADP_PFK_GK	0.0736842105263
Hint	0.0736842105263
CPS	0.0738916256158
Transglutamin_NC	0.0743639921722
ghf34	0.0744047619048
mycin	0.0744680851064
hemocyan	0.0745614035088
adeno_fiber	0.0746268656716
sdr	0.0746268656716
HGTP_anticodon	0.075
G6PD_C	0.075117370892
transketolase_PC	0.0753968253968
Cys_Met_Meta_PP	0.0754716981132
PBP_GOBP	0.0754716981132
phs	0.0757341576507
malt_amylase_NC	0.0758196721311
ARM	0.0758807588076
Peptidase_M16	0.0759878419453
flav	0.0769230769231
MCR_beta_N	0.0769230769231
mmo	0.0769230769231
