family	coverage
all	0.861657
median	0.858066
mean	0.834280
std	0.103974
CBS	0.333333333333
igcon	0.333333333333
BIR	0.375
pp	0.391304347826
dsrm	0.4
igps	0.422222222222
CIDE-N	0.428571428571
hormone5	0.435897435897
MM_CoA_mutase	0.44
Cyclotide	0.444444444444
UPF0033	0.444444444444
ccH	0.451612903226
ets	0.461538461538
Fork_head	0.473684210526
HLH	0.478260869565
HMG_box	0.478260869565
mthina	0.478260869565
Activin_recp	0.5
integrase	0.5
PARATHYROID	0.5
NusB	0.520547945205
ACT	0.521739130435
eIF-1a	0.529411764706
Ribosomal_S15	0.529411764706
LBP_BPI_CETP	0.538461538462
SUI1	0.541666666667
bowman	0.545454545455
5_3_exonuclease	0.546875
RA	0.555555555556
RhoGEF	0.558823529412
PTB	0.560975609756
tRNA-synt_1d_N	0.561403508772
KH	0.564102564103
RrnaAD	0.564102564103
PBP_GOBP	0.566666666667
SAM_PNT	0.567567567568
Glyco_hydro_2_N	0.577777777778
CBD_6	0.583333333333
Cys-protease-3C	0.584905660377
VAT-Nc	0.588235294118
LIM	0.590909090909
PABP	0.591836734694
biotin_lipoyl	0.594594594595
S1	0.6
EGF_Lam	0.6
pp-binding	0.6
acyo	0.609375
ghf28	0.612403100775
DEATH	0.612903225806
myb_DNA-binding	0.615384615385
AP_endonuc_2	0.615384615385
sh3	0.615384615385
DnaJ	0.615384615385
TPK_B1_binding	0.617021276596
PyrI	0.620689655172
MIP	0.623188405797
Alpha_adaptin_C	0.627906976744
plantltp	0.628571428571
CBD_2	0.633333333333
pili_assembly	0.633802816901
MBD	0.634146341463
MMOB	0.64
Histidine_kinase	0.641509433962
MutS_D2	0.642857142857
seatoxin	0.642857142857
Alpha_adaptinC2	0.645161290323
GLUCAGON	0.65
linker_histone	0.65
GA	0.653846153846
cat3	0.657142857143
igI	0.657894736842
PyrI_NC	0.661016949153
LysR_substrate	0.663157894737
DUF101	0.666666666667
STAS	0.666666666667
S_100	0.666666666667
TFIIS	0.666666666667
blmb	0.676470588235
egf	0.677419354839
pec_lyase	0.677777777778
Transglutamin_C	0.678571428571
tRNA-synt_1_edit	0.679245283019
internalin	0.68
IF4E	0.68085106383
FolB	0.684210526316
RNA_pol_K	0.685714285714
ATP-synt	0.687074829932
DUF170	0.6875
PH	0.6875
Alpha_adaptinC12	0.6875
TMV_coat	0.688073394495
ghf46	0.692307692308
FN2	0.692307692308
PAN	0.692307692308
SCP	0.693548387097
prenyltrans	0.694444444444
mutT	0.69696969697
UCR_14kD	0.7
Tymo_coat	0.701612903226
tRNA-synt_1b	0.702702702703
pdc	0.706766917293
His_biosynth	0.706896551724
DAP_epimerase	0.708333333333
recombinase	0.708333333333
OMPdecase	0.708860759494
Trypan_glycop	0.708955223881
PGI	0.71
PNTB	0.710280373832
CARD	0.710526315789
scorptoxin	0.711111111111
RNA_pol_A_bac	0.711267605634
pnp	0.712643678161
igC2	0.714285714286
Transglutamin_N	0.714285714286
Thr_dehydrat_C	0.714285714286
mthinb	0.714285714286
sigma54	0.714285714286
RNase_U2	0.715517241379
TIMP	0.715789473684
Ribonuclease_P	0.717948717949
Pertussis_S2S3_N	0.717948717949
CAP_GLY	0.71875
PSI_PsaE	0.722222222222
L15	0.724137931034
RNA_pol_H	0.724137931034
GATase	0.725
DNA_gyraseB	0.727272727273
WW	0.727272727273
Sua5_yciO_yrdC	0.729411764706
Peptidase_S21	0.729411764706
GAF	0.72972972973
Thioesterase	0.730769230769
RGS	0.731481481481
cNMP	0.732394366197
EPSP_syntase	0.732919254658
TIL	0.733333333333
Isochorismatase	0.734939759036
GFO_IDH_MocA_C	0.735294117647
Binary_toxA	0.736263736264
Topoisomerase_I_core	0.738461538462
Peripla_BP_2	0.739130434783
hr	0.739130434783
GAL4	0.739130434783
fkbp	0.739130434783
START	0.739583333333
rnh	0.74
sh2	0.74025974026
Anperoxidase	0.740740740741
UBX	0.740740740741
Lyase_8_N	0.741935483871
Asp_Glu_race	0.74358974359
Flavin_Reduct	0.744680851064
IF3	0.745098039216
EF1BD	0.746268656716
TonB_dep_Rec	0.747058823529
LuxS	0.747252747253
Pep_deformylase	0.747252747253
ALBUMIN	0.747967479675
aminotran_4	0.748663101604
Staphylokinase	0.75
LIF_OSM	0.75
Filamin	0.75
Peptidase_S24	0.75
asprs	0.751269035533
INTERFERON_A_B_D	0.753086419753
merR	0.753623188406
Mur_ligase	0.754385964912
SRP19	0.756097560976
isoamylase_N	0.758620689655
CcmE	0.76
Sec7	0.761061946903
Gly_radical	0.761904761905
WHEP-TRS	0.761904761905
ins	0.761904761905
ANK	0.7625
GHMP_kinases_N	0.763157894737
UreE	0.763636363636
ATP-synt_DE_N	0.763636363636
TPK	0.764285714286
DISIN	0.764705882353
cystatin	0.764705882353
Mu_DNA_bind	0.764705882353
Ribosomal_L22	0.764705882353
FHA	0.764705882353
toxin_2	0.764705882353
RNA_dep_RNA_pol	0.765957446809
CC4	0.767123287671
Usp	0.767441860465
Cytochrome_C1_N	0.768
Amino_oxidase_D1	0.768518518519
DNA_mis_repair_M	0.769230769231
YgbB	0.769230769231
Hint	0.769230769231
Bet_v_I	0.77037037037
transketolase	0.77037037037
DegT_DnrJ_EryC1	0.770491803279
gpr	0.770491803279
capsid_n	0.770491803279
DNA_pol3_beta	0.771428571429
Ribosomal_L18p	0.772727272727
FA58C	0.77358490566
Lyase_8_NC	0.774390243902
DUF153	0.775
HSF_DNA-bind	0.775
Haloperoxidase	0.775362318841
Peptidase_S11	0.775641025641
uce	0.775700934579
oxidored_FMN	0.776397515528
kunitz	0.777777777778
RNA_pol_N	0.777777777778
Bac_DNA_binding	0.777777777778
Toprim	0.777777777778
MATH	0.777777777778
Peptidase_M16	0.778947368421
S_T_dehydratase	0.779411764706
CBD_3	0.779661016949
Glyco_hydro_20b	0.78
TrkA-N	0.78021978022
Glyco_transf_8	0.780487804878
hexapep	0.78125
Amino_oxidase_D2	0.782608695652
Asn_synthase	0.782894736842
RuvA	0.783333333333
alpha-amylase_N	0.783783783784
UcrQ	0.78431372549
oat	0.78431372549
DNA_topoisoIV	0.784615384615
FAA_hydrolase	0.784810126582
TmpK	0.785714285714
B_lectin	0.785714285714
Acetyltransf	0.785714285714
ku	0.786458333333
VAT-N	0.786885245902
cks	0.787234042553
aconitase	0.787735849057
transcript_fac2	0.789473684211
sugbp	0.789473684211
GHMP_kinases_C	0.789473684211
Ribosomal_L4	0.789473684211
DEP	0.789473684211
UCH	0.79012345679
transketolase_C	0.791304347826
Dwarfin	0.791666666667
GHMP_kinases	0.791666666667
Parvo_coat2	0.792056074766
hpr	0.792207792208
Exonuclease	0.792452830189
kex	0.792899408284
Peptidase_S9	0.793103448276
tubulin	0.794326241135
Ferrochelatase	0.794736842105
ung	0.794736842105
Rhodanese	0.794871794872
AMP-binding	0.795555555556
Uricase	0.795918367347
DHDPS	0.796
dpb	0.7969348659
lyase_1	0.79781420765
lacI	0.8
pcd	0.8
Rotamase	0.8
Aldolase_II	0.8
spidertoxin	0.8
pot	0.8
TIR	0.8
GBP_PSP	0.8
tRNA_bind	0.8
Asn_synthase_NC	0.800995024876
Arginosuc_synth	0.801687763713
Peptidase_M27	0.802083333333
cyt5	0.803278688525
AlaDh_PNT	0.803370786517
PRK	0.803571428571
SNAP-25	0.803571428571
GP120	0.803773584906
Fe_Asc_oxidored	0.803921568627
Kchannel	0.803921568627
Peptidase_C2_D2	0.803921568627
rasgap	0.804733727811
GGL	0.80487804878
Peptidase_C2	0.80487804878
RNA_pol_A_CTD	0.805555555556
rhv	0.805882352941
Cytochrome_C1	0.805882352941
Topoisom_bac	0.805970149254
HMA	0.806451612903
endotoxin	0.807197943445
ALAD	0.807486631016
arrestin	0.807692307692
AlaDh_PNT_D2	0.807692307692
Nitroreductase	0.808219178082
SpoU_methylase_N	0.809523809524
Asp_Glu_race_D	0.809523809524
Methyltransf_1	0.809523809524
